fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	3287	2436	739	2703	18	9165	9183	0.3065447021670478
10_A_0002	2636	1936	1187	2916	0	8675	8675	0.28
10_A_0003	4235	1045	252	2019	0	7551	7551	0.6564693418090319
10_O_0001	403	5193	1445	637	0	7678	7678	-0.7290961187809325
10_O_0002	318	2078	3499	0	129	5895	6024	-0.87300796812749
10_O_0003	1007	4382	2930	199	177	8518	8695	-0.702242668200115
11_A_0001	4929	2909	0	2639	175	10477	10652	0.4373826511453248
11_A_0002	1650	2376	2182	5785	0	11993	11993	0.23988993579588094
11_A_0003	4444	1386	1574	2790	0	10194	10194	0.41926623504021976
11_O_0001	976	3870	3906	0	0	8752	8752	-0.7769652650822669
11_O_0002	1092	5605	3172	103	0	9972	9972	-0.7603289209787405
11_O_0003	168	1628	5136	251	0	7183	7183	-0.8833356536266184
12_A_0001	4702	231	301	1878	0	7112	7112	0.8503937007874016
12_A_0002	1276	0	0	419	0	1695	1695	1.0
12_O_0001	410	1980	2159	209	373	4758	5131	-0.6860261157669071
1_A_0001	3133	947	1074	1025	0	6179	6179	0.34584884285483086
1_A_0002	3576	1700	1546	2974	242	9796	10038	0.3291492329149233
1_A_0003	2911	1350	1770	2701	140	8732	8872	0.28088367899008115
1_O_0001	1232	3696	772	0	0	5700	5700	-0.5677192982456141
1_O_0002	2397	990	2590	1011	0	6988	6988	-0.024613623354321695
1_O_0003	2172	2423	2262	0	0	6857	6857	-0.366486801808371
2_0_0001	1856	6857	1484	1447	178	11644	11822	-0.4261546269666723
2_0_0002	1395	1969	3038	807	595	7209	7804	-0.35943106099436184
2_0_0003	1793	3205	2294	808	350	8100	8450	-0.3429585798816568
2_A_0001	1758	2219	1177	1212	0	6366	6366	-0.06691800188501414
2_A_0002	4589	1601	2552	1516	0	10258	10258	0.1902905049717294
2_A_0003	4198	1476	1234	1828	354	8736	9090	0.3647964796479648
3_A_0001	2534	4775	379	2617	0	10305	10305	-0.0002911208151382824
3_A_0002	1233	3164	0	5464	219	9861	10080	0.3504960317460317
3_A_0003	2502	1155	1187	3360	0	8204	8204	0.42905899561189664
3_O_0001	1066	1890	3308	466	0	6730	6730	-0.5447251114413075
3_O_0002	454	2991	4163	227	0	7835	7835	-0.8261646458200382
3_O_0003	562	8885	1232	422	0	11101	11101	-0.822718673993334
4_A_0001	8323	302	531	946	656	10102	10758	0.7841606246514222
4_A_0002	7055	435	849	2061	927	10400	11327	0.6914452193873046
4_A_0003	9197	600	1987	743	0	12527	12527	0.5869721401772172
4_O_0001	725	6650	3900	0	499	11275	11774	-0.8344657720400883
4_O_0002	477	4761	4207	358	927	9803	10730	-0.7579683131407269
4_O_0003	1158	6193	2488	0	1204	9839	11043	-0.6812460382142533
5_A_0001	1673	533	2989	4035	487	9230	9717	0.22496655346300298
5_A_0002	3056	938	690	1202	961	5886	6847	0.38410982912224334
5_A_0003	3605	1821	1496	1084	502	8006	8508	0.1612599905970851
5_O_0001	2091	2834	2845	476	0	8246	8246	-0.377395100654863
5_O_0002	1257	3496	1687	457	225	6897	7122	-0.48708228025835437
5_O_0003	2601	2223	1636	517	142	6977	7119	-0.10408765276021913
6_A_0001	2453	1276	1754	2480	524	7963	8487	0.2242252857311182
6_A_0002	2418	1360	1698	1050	540	6526	7066	0.05802434191904897
6_A_0003	2187	1900	1611	2347	176	8045	8221	0.12443741637270406
6_O_0001	924	1770	1586	375	531	4655	5186	-0.3966448129579637
6_O_0002	1423	2716	1288	178	0	5605	5605	-0.42872435325602143
6_O_0003	2538	2255	654	1064	0	6511	6511	0.10643526340039933
7_A_0001	6629	2529	192	1448	180	10798	10978	0.48788486063035164
7_A_0002	3488	2461	262	3168	0	9379	9379	0.41934108113871416
7_A_0003	2962	1099	232	3680	764	7973	8737	0.607874556483919
7_O_0001	928	5168	1590	0	0	7686	7686	-0.7585219880301848
7_O_0002	460	9253	583	636	0	10932	10932	-0.7994877424076107
7_O_0003	1498	7148	1089	0	350	9735	10085	-0.6682201289043134
8_A_0001	2890	1827	652	3537	216	8906	9122	0.43279982459986843
8_A_0002	2303	3002	257	4014	394	9576	9970	0.30672016048144435
8_O_0001	926	1892	3680	464	448	6962	7410	-0.5643724696356275
8_O_0002	1362	5221	2254	0	0	8837	8837	-0.691750594093018
8_O_0003	1426	6072	1563	149	0	9210	9210	-0.6579804560260586
9_A_0001	2945	1349	892	969	500	6155	6655	0.2513899323816679
9_A_0002	2022	2595	1533	1161	334	7311	7645	-0.1236102027468934
9_A_0003	804	913	1209	2422	39	5348	5387	0.20493781325413032
9_O_0001	1586	1868	2644	436	159	6534	6693	-0.3720304796055581
9_O_0002	1079	2494	901	428	0	4902	4902	-0.38514891880864954
9_O_0003	925	1439	1576	574	160	4514	4674	-0.3243474540008558
