fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	3578	2447	739	2703	7	9467	9474	0.32668355499261137
10_A_0002	3621	1936	1187	2930	0	9674	9674	0.354351870994418
10_A_0003	4251	1045	252	2019	0	7567	7567	0.6571957182502973
10_O_0001	403	5445	1635	1649	0	9132	9132	-0.5505913272010512
10_O_0002	318	2078	5175	1450	129	9021	9150	-0.5994535519125683
10_O_0003	941	3529	4075	199	177	8744	8921	-0.7245824459141352
11_A_0001	4929	3091	936	3296	120	12252	12372	0.3393145813126415
11_A_0002	2299	2376	3028	6297	0	14000	14000	0.228
11_A_0003	4702	1386	1574	2790	0	10452	10452	0.43360122464600076
11_O_0001	976	4135	5062	271	0	10444	10444	-0.7612026043661433
11_O_0002	932	4866	3172	103	0	9073	9073	-0.7718505455747823
11_O_0003	168	1628	5608	397	0	7801	7801	-0.855146776054352
12_A_0001	6186	231	301	1878	0	8596	8596	0.8762214983713354
12_A_0002	1498	0	0	419	0	1917	1917	1.0
12_O_0001	410	1980	2159	359	373	4908	5281	-0.63813671653096
1_A_0001	3133	947	1074	1025	0	6179	6179	0.34584884285483086
1_A_0002	2620	1752	1546	2974	242	8892	9134	0.2513685132472082
1_A_0003	2911	1350	1770	2716	140	8747	8887	0.2820974457072128
1_O_0001	1232	3727	772	0	0	5731	5731	-0.5700575815738963
1_O_0002	2622	990	2578	1011	0	7201	7201	0.00902652409387585
1_O_0003	2172	2423	2262	0	0	6857	6857	-0.366486801808371
2_0_0001	1827	6857	1472	1447	220	11603	11823	-0.42755645775183965
2_0_0002	1393	1969	2994	829	639	7185	7824	-0.3503323108384458
2_0_0003	2463	3276	2294	745	365	8778	9143	-0.2583397134419775
2_A_0001	2069	2219	1177	1212	0	6677	6677	-0.01722330387898757
2_A_0002	3554	1601	2617	1570	0	9342	9342	0.09698137443802184
2_A_0003	4461	2506	1234	1828	354	10029	10383	0.24549744775113166
3_A_0001	2655	5027	1215	2617	0	11514	11514	-0.08424526663192634
3_A_0002	1557	3232	0	5504	219	10293	10512	0.3642503805175038
3_A_0003	3460	1155	2638	3539	0	10792	10792	0.29707190511489995
3_O_0001	1715	2030	3308	2540	0	9593	9593	-0.1128948191389555
3_O_0002	454	2991	4210	227	0	7882	7882	-0.8272012179649835
3_O_0003	562	9150	1232	647	0	11591	11591	-0.7913898714519886
4_A_0001	8790	289	1509	946	669	11534	12203	0.6504957797262968
4_A_0002	7154	308	1079	2661	927	11202	12129	0.6948635501690164
4_A_0003	9525	600	2152	743	0	13020	13020	0.5772657450076805
4_O_0001	725	6650	4231	0	499	11606	12105	-0.8389921520033045
4_O_0002	477	4761	4181	358	953	9777	10730	-0.7555452003727866
4_O_0003	1046	6385	2628	0	1124	10059	11183	-0.7124206384691049
5_A_0001	1673	659	2875	4176	489	9383	9872	0.23450162074554295
5_A_0002	3056	938	2338	1477	961	7809	8770	0.1433295324971494
5_A_0003	3605	1807	1496	1084	516	7992	8508	0.16290550070521861
5_O_0001	1464	2552	3686	476	0	8178	8178	-0.5255563707507949
5_O_0002	1139	4117	1928	464	225	7648	7873	-0.564206782674965
5_O_0003	2147	1524	1636	1286	142	6593	6735	0.04053452115812917
6_A_0001	2421	1289	1754	2522	501	7986	8487	0.22387180393543066
6_A_0002	2418	1360	1464	1203	621	6445	7066	0.11279365977922445
6_A_0003	3013	2138	1611	2347	176	9109	9285	0.17350565428109854
6_O_0001	1213	1783	2514	375	518	5885	6403	-0.42308292987662033
6_O_0002	1701	2745	1274	178	0	5898	5898	-0.3628348592743303
6_O_0003	1528	2066	1341	934	0	5869	5869	-0.16101550519679672
7_A_0001	6823	2404	1059	1448	180	11734	11914	0.403558838341447
7_A_0002	3647	1395	262	3168	0	8472	8472	0.6088290840415487
7_A_0003	2962	1099	871	3680	764	8612	9376	0.49829351535836175
7_O_0001	1878	5168	1590	0	0	8636	8636	-0.5650764242704956
7_O_0002	606	9385	583	636	0	11210	11210	-0.7784121320249777
7_O_0003	2316	6770	1089	0	375	10175	10550	-0.5254028436018957
8_A_0001	3561	2806	1676	4119	216	12162	12378	0.2583616093068347
8_A_0002	2314	3010	371	4014	374	9709	10083	0.292274124764455
8_O_0001	926	1892	4729	464	448	8011	8459	-0.6183946092918785
8_O_0002	1169	4046	2438	0	0	7653	7653	-0.6944988893244479
8_O_0003	1709	6185	3253	1779	0	12926	12926	-0.46031254835215846
9_A_0001	2455	2248	1827	969	500	7499	7999	-0.08138517314664333
9_A_0002	1322	2172	2108	1161	334	6763	7097	-0.25320557982246017
9_A_0003	804	913	2276	2993	25	6986	7011	0.08672086720867209
9_O_0001	2066	2097	3808	597	159	8568	8727	-0.37149077575340894
9_O_0002	1079	2614	826	503	0	5022	5022	-0.3699721226602947
9_O_0003	925	1439	1576	574	160	4514	4674	-0.3243474540008558
