fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	533	0	1296	4313	197	6142	6339	0.5600252405742231
10_A_0002	3749	0	1823	616	359	6188	6547	0.3882694363830762
10_A_0003	455	0	1104	5015	420	6574	6994	0.624249356591364
10_O_0001	865	1719	1602	832	165	5018	5183	-0.3133320470769824
10_O_0002	1424	1225	3275	163	62	6087	6149	-0.47373556675882256
10_O_0003	1544	2096	2830	1773	630	8243	8873	-0.18133663924264623
11_A_0001	2203	2621	433	1650	0	6907	6907	0.11567974518604314
11_A_0002	990	1738	200	3115	0	6043	6043	0.3585967234817144
