fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	533	0	1292	4317	197	6142	6339	0.5612872692853762
10_A_0002	4567	0	1823	627	348	7017	7365	0.45770536320434485
10_A_0003	455	0	1058	5074	420	6587	7007	0.638076209504781
10_O_0001	3026	1719	1602	832	165	7179	7344	0.07312091503267974
10_O_0002	1445	1225	3275	163	68	6108	6176	-0.4682642487046632
10_O_0003	227	2054	1953	1815	630	6049	6679	-0.2942057194190747
11_A_0001	568	2621	393	1761	0	5343	5343	-0.1282051282051282
11_A_0002	1167	1921	200	3159	0	6447	6447	0.34201954397394135
11_O_0001	1757	3977	1854	333	462	7921	8383	-0.4462602886794704
11_O_0002	1079	2518	1632	529	0	5758	5758	-0.4414727335880514
11_O_0003	286	4169	552	222	456	5229	5685	-0.7410729991204925
12_A_0001	4736	0	1300	0	0	6036	6036	0.5692511597084162
12_A_0002	1008	1602	704	4620	178	7934	8112	0.40951676528599606
12_A_0003	3722	247	2020	207	563	6196	6759	0.2458943630714603
12_O_0001	1644	1294	3415	1292	0	7645	7645	-0.23191628515369522
12_O_0002	1096	1189	3411	0	625	5696	6321	-0.5543426672994779
12_O_0003	1745	2441	3267	330	188	7783	7971	-0.45577719232216785
1_A_0001	3628	443	255	2852	467	7178	7645	0.7563113145846959
1_A_0002	2165	2804	361	2536	0	7866	7866	0.1952707856598017
1_A_0003	2459	1377	682	1964	105	6482	6587	0.3588887202064673
1_O_0001	1517	3350	833	531	305	6231	6536	-0.32665238678090575
1_O_0002	1610	2403	1283	792	256	6088	6344	-0.20239596469104665
1_O_0003	1993	3711	682	1083	185	7469	7654	-0.17206689312777632
2_A_0001	2895	1279	366	3571	320	8111	8431	0.5718182896453564
2_A_0002	1416	1598	475	3004	112	6493	6605	0.35533686601059805
2_A_0003	3892	310	266	4730	103	9198	9301	0.8650682722287926
2_O_0001	3099	5099	1645	186	0	10029	10029	-0.344899790607239
2_O_0002	895	2006	1327	1313	18	5541	5559	-0.2023745277927685
2_O_0003	654	4790	616	0	217	6060	6277	-0.7570495459614466
3_A_0001	6493	566	1113	575	156	8747	8903	0.6053015837358194
3_A_0002	2402	2764	553	2625	179	8344	8523	0.2006335797254488
3_A_0003	0	5344	2797	659	0	8800	8800	-0.8502272727272727
3_O_0001	941	3963	2482	0	155	7386	7541	-0.7298766741811431
3_O_0002	4332	5224	2781	261	338	12598	12936	-0.2637600494743352
3_O_0003	1928	5135	925	9	398	7997	8395	-0.4911256700416915
4_A_0001	2755	4133	0	1625	187	8513	8700	0.02839080459770115
4_A_0002	2075	2866	242	1180	140	6363	6503	0.022604951560818085
4_A_0003	2554	3026	0	1180	0	6760	6760	0.10473372781065089
4_O_0002	940	5126	269	455	0	6790	6790	-0.5891016200294551
6_A_0001	7605	1214	458	686	134	9963	10097	0.6555412498762009
6_A_0002	9861	1263	3900	744	89	15768	15857	0.34319228101154065
6_A_0003	6759	405	1263	759	246	9186	9432	0.6202290076335878
6_O_0001	2307	2013	1164	687	1137	6171	7308	-0.02504105090311987
6_O_0002	3229	1707	2456	260	0	7652	7652	-0.08808154730789336
6_O_0003	4267	3232	1297	0	0	8796	8796	-0.029786266484765803
7_A_0001	2772	1485	2692	1286	0	8235	8235	-0.014450516089860352
7_A_0002	860	966	758	3867	316	6451	6767	0.4437712427959214
7_A_0003	3623	719	2150	1152	518	7644	8162	0.23352119578534672
7_O_0001	1404	6216	4404	840	486	12864	13350	-0.6274157303370786
7_O_0002	395	3662	2229	1022	239	7308	7547	-0.5928183384126143
7_O_0003	1340	6587	4222	276	4	12425	12429	-0.7396411617990184
8_A_0001	6060	234	953	928	106	8175	8281	0.7005192609588214
8_A_0002	4399	237	197	1622	668	6455	7123	0.7843605222518601
8_A_0003	5860	2806	546	392	464	9604	10068	0.288041319030592
8_O_0001	2486	4281	1774	0	178	8541	8719	-0.4093359330198417
8_O_0002	825	1887	4882	180	192	7774	7966	-0.7235751945769521
8_O_0003	671	3091	2297	315	0	6374	6374	-0.690618136178224
9_A_0001	10780	312	379	287	0	11758	11758	0.88246300391223
9_A_0002	7258	324	3731	463	0	11776	11776	0.31131114130434784
9_A_0003	5879	1810	0	1892	0	9581	9581	0.6221688759002192
9_O_0002	262	218	8320	0	0	8800	8800	-0.9404545454545454
9_O_0003	1654	5738	1207	0	158	8599	8757	-0.6042023524037913
