fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	3213	0	2266	1820	0	7299	7299	0.37909302644197834
10_A_0002	7632	0	960	492	858	9084	9942	0.7205793602896802
10_A_0003	172	0	714	4029	187	4915	5102	0.6834574676597412
10_O_0001	3081	1265	4126	211	0	8683	8683	-0.24173672693769435
10_O_0002	685	935	2893	365	532	4878	5410	-0.5134935304990758
10_O_0003	2652	789	1867	2741	0	8049	8049	0.3400422412722077
11_A_0001	2446	229	1509	895	0	5079	5079	0.31561330970663515
11_A_0002	0	1614	200	3128	0	4942	4942	0.26588425738567384
11_A_0003	3303	1037	2734	1143	0	8217	8217	0.08214676889375684
11_O_0001	573	3347	0	333	144	4253	4397	-0.5551512394814646
11_O_0002	0	1976	1350	363	0	3689	3689	-0.8031986988343724
11_O_0003	170	3497	552	276	263	4495	4758	-0.757250945775536
12_A_0001	8484	50	3585	0	175	12119	12294	0.39442004229705546
12_A_0002	3179	800	704	2897	0	7580	7580	0.6031662269129288
12_A_0003	6934	675	3780	613	492	12002	12494	0.24747878981911317
12_O_0001	4702	452	2533	1018	541	8705	9246	0.29580359074194246
12_O_0002	1858	1084	7070	266	684	10278	10962	-0.5500821018062397
12_O_0003	2323	1196	3047	400	354	6966	7320	-0.20765027322404372
1_A_0001	5144	0	2199	714	445	8057	8502	0.4303693248647377
1_A_0002	4248	2161	1574	1109	0	9092	9092	0.17839859216893972
1_A_0003	4593	1232	1531	412	0	7768	7768	0.28861997940267764
1_O_0001	4618	683	1192	344	0	6837	6837	0.4515138218516893
1_O_0002	2723	1011	1044	655	0	5433	5433	0.2435118718939812
1_O_0003	358	1583	407	1080	0	3428	3428	-0.16102683780630106
2_A_0001	1447	1221	366	3132	320	6166	6486	0.46130126426148627
2_A_0002	3677	1050	475	511	0	5713	5713	0.4661298792228251
2_A_0003	1199	271	266	4076	103	5812	5915	0.8010143702451394
2_O_0001	0	2465	548	217	0	3230	3230	-0.8656346749226006
2_O_0002	1157	504	1348	457	216	3466	3682	-0.06463878326996197
2_O_0003	182	3626	237	0	217	4045	4262	-0.8636790239324261
3_A_0001	2041	566	811	575	0	3993	3993	0.3102930127723516
3_A_0002	886	2452	151	2386	205	5875	6080	0.11003289473684211
3_A_0003	1154	1530	3669	162	0	6515	6515	-0.5960092095165004
3_O_0001	968	2290	3864	165	0	7287	7287	-0.6890352682859887
3_O_0002	5089	3068	3888	220	186	12265	12451	-0.13227853184483174
3_O_0003	4008	2612	3164	195	101	9979	10080	-0.1560515873015873
4_A_0001	5871	2738	0	373	0	8982	8982	0.3903362280115787
4_A_0002	4881	1679	639	461	0	7660	7660	0.3947780678851175
4_A_0003	4498	1745	144	258	0	6645	6645	0.4314522197140707
4_O_0001	0	4729	181	251	230	5161	5391	-0.864218141346689
4_O_0002	912	4258	417	213	0	5800	5800	-0.6120689655172413
4_O_0003	671	3470	205	382	0	4728	4728	-0.5545685279187818
6_A_0001	6647	1193	2080	209	134	10129	10263	0.3491181915619215
6_A_0002	8833	1093	3932	514	0	14372	14372	0.3007236292791539
6_A_0003	6868	0	1081	275	246	8224	8470	0.715702479338843
6_O_0001	1518	1679	1028	1316	522	5541	6063	0.020946726043212932
6_O_0002	4756	499	2315	260	192	7830	8022	0.2744951383694839
6_O_0003	4301	1571	1989	0	0	7861	7861	0.094262816435568
7_A_0001	4980	0	4349	670	59	9999	10058	0.12934977132630743
7_A_0002	4524	338	758	1153	197	6773	6970	0.6572453371592539
7_A_0003	7275	460	3015	378	612	11128	11740	0.3558773424190801
7_O_0001	3276	2103	3440	603	0	9422	9422	-0.1766079388664827
7_O_0002	2088	1405	2596	1224	0	7313	7313	-0.09421578011759879
7_O_0003	3519	1955	2617	274	0	8365	8365	-0.0931261207411835
8_A_0001	7445	106	3782	353	0	11686	11686	0.3345883963717268
8_A_0002	8723	237	364	836	766	10160	10926	0.8198791872597474
8_A_0003	9140	1420	1220	446	252	12226	12478	0.5566597211091521
8_O_0001	2420	989	2275	13	0	5697	5697	-0.14586624539231174
8_O_0002	2683	571	5186	439	33	8879	8912	-0.29566876122082586
8_O_0003	1986	731	3564	163	0	6444	6444	-0.3330229671011794
9_A_0001	11618	241	758	0	0	12617	12617	0.841642228739003
9_A_0002	7874	159	5343	0	0	13376	13376	0.17733253588516745
9_A_0003	4753	1810	0	1892	0	8455	8455	0.5718509757539917
9_O_0001	752	8334	0	0	158	9086	9244	-0.8202077022933795
9_O_0002	2709	218	7428	1003	0	11358	11358	-0.3463637964430357
9_O_0003	1260	5040	0	0	0	6300	6300	-0.6
