fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	4336	2397	3107	1588	187	11428	11615	0.036160137752905726
10_A_0002	5213	2810	798	1412	0	10233	10233	0.2948304505032737
10_A_0003	3309	1988	542	1910	0	7749	7749	0.34701251774422504
10_O_0001	1124	1744	5597	0	0	8465	8465	-0.7344359125812168
10_O_0002	1108	7522	727	281	238	9638	9876	-0.6946132037262049
10_O_0003	2189	1792	2228	122	0	6331	6331	-0.26994155741589004
11_A_0001	3731	1200	758	2359	194	8048	8242	0.5013346275175928
11_A_0002	2695	1959	1177	2094	0	7925	7925	0.20858044164037856
11_A_0003	3631	1272	1328	1829	0	8060	8060	0.3548387096774194
11_O_0001	1151	2999	3179	547	120	7876	7996	-0.560280140070035
11_O_0002	1982	3279	2449	614	0	8324	8324	-0.3762614127823162
11_O_0003	4195	3491	1061	552	375	9299	9674	0.020157122183171387
12_A_0001	5951	2012	946	2207	143	11116	11259	0.46185274003019805
12_A_0002	2931	2568	281	5362	356	11142	11498	0.4734736475908854
12_A_0003	3279	1936	259	3434	303	8908	9211	0.49050048854630335
12_O_0001	0	3710	4414	289	284	8413	8697	-0.9008853627687708
12_O_0002	1128	3521	4806	917	530	10372	10902	-0.5762245459548707
12_O_0003	1428	2387	5208	576	0	9599	9599	-0.5824565058860298
1_A_0001	5064	1871	831	1170	0	8936	8936	0.39525514771709935
1_A_0002	2684	2792	403	2942	384	8821	9205	0.26409560021727324
1_A_0003	4324	1365	1929	493	0	8111	8111	0.1877696954752805
1_O_0001	791	542	4557	895	0	6785	6785	-0.5030213706705969
1_O_0002	2354	5050	485	161	0	8050	8050	-0.37515527950310557
1_O_0003	610	6420	1599	264	0	8893	8893	-0.8034409085797819
2_A_0001	4780	5538	567	766	0	11651	11651	-0.047978714273452926
2_A_0002	3793	2216	1172	2823	0	10004	10004	0.32267093162734906
2_A_0003	3208	1725	1823	2394	0	9150	9150	0.2244808743169399
2_O_0001	1494	5442	1015	1251	159	9202	9361	-0.39653883132144
2_O_0002	1967	4125	2077	845	0	9014	9014	-0.37608165076547595
2_O_0003	1266	2575	3098	2031	206	8970	9176	-0.25893635571054924
3_A_0001	4977	2317	1774	622	0	9690	9690	0.15562435500515995
3_A_0002	2771	2272	1092	1945	0	8080	8080	0.16732673267326734
3_A_0003	3008	3007	661	2350	0	9026	9026	0.18723687126080213
3_O_0001	2289	3743	2596	265	0	8893	8893	-0.4256156527605982
3_O_0002	1297	3481	1751	0	486	6529	7015	-0.5609408410548824
3_O_0003	2686	3298	2914	583	475	9481	9956	-0.29560064282844517
4_A_0001	4391	2387	1805	3606	0	12189	12189	0.312166707687259
4_A_0002	4838	1699	1614	2314	0	10465	10465	0.36684185379837553
4_A_0003	5758	649	1712	2591	0	10710	10710	0.5591036414565826
4_O_0001	1295	3611	3259	293	475	8458	8933	-0.5912907198029778
4_O_0002	860	5707	779	153	0	7499	7499	-0.7298306440858782
4_O_0003	1101	5678	2764	259	213	9802	10015	-0.7071392910634049
5_A_0001	3730	2184	189	1648	824	7751	8575	0.3504373177842566
5_A_0002	4738	1097	845	158	0	6838	6838	0.43199766013454227
5_A_0003	5080	986	1358	857	0	8281	8281	0.43388479652215917
5_O_0001	1617	0	3419	416	0	5452	5452	-0.25421863536316947
5_O_0002	1414	2242	1193	280	665	5129	5794	-0.3004832585433207
5_O_0003	1001	4510	839	263	458	6613	7071	-0.5777117805119503
6_A_0001	3457	2763	1124	1571	0	8915	8915	0.12798653954010095
6_A_0002	4583	1661	663	1928	0	8835	8835	0.4739105829088851
6_A_0003	3180	2777	1123	1574	0	8654	8654	0.09868269008550959
6_O_0001	2747	3299	1700	424	0	8170	8170	-0.22374541003671972
6_O_0002	1647	5574	156	403	98	7780	7878	-0.46712363544046714
6_O_0003	1196	4806	1009	169	0	7180	7180	-0.6197771587743732
8_A_0001	5869	2360	421	1065	196	9715	9911	0.41902936131570984
8_A_0002	6205	2117	1000	1499	314	10821	11135	0.41194431971261786
8_A_0003	7542	1285	1342	416	114	10585	10699	0.4982708664361155
8_O_0001	1168	9538	783	315	339	11804	12143	-0.7278267314502183
8_O_0002	811	3854	3404	454	235	8523	8758	-0.6842886503767983
8_O_0003	832	7868	1407	0	323	10107	10430	-0.8094918504314478
9_A_0001	5310	1758	1193	1590	168	9851	10019	0.3941511128855175
9_A_0002	5100	3291	1009	1852	369	11252	11621	0.22820755528784098
9_A_0003	6931	1461	261	876	0	9529	9529	0.6385769755483262
9_O_0001	1823	6061	753	0	0	8637	8637	-0.5778626838022461
9_O_0002	1806	8095	973	0	0	10874	10874	-0.667831524737907
9_O_0003	1299	5482	782	0	102	7563	7665	-0.6477495107632094
