fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	2329	559	2503	187	0	5578	5578	-0.09788454643241305
10_A_0002	655	2991	0	1412	0	5058	5058	-0.1826809015421115
10_A_0003	2040	662	542	243	0	3487	3487	0.3094350444508173
10_O_0001	395	461	4921	441	183	6218	6401	-0.7102015310107795
10_O_0002	218	4614	623	0	106	5455	5561	-0.9025355151951088
10_O_0003	924	2584	366	399	0	4273	4273	-0.380762930025743
11_A_0001	2984	360	576	756	182	4676	4858	0.5771922601893783
11_A_0002	2423	493	1472	466	0	4854	4854	0.1903584672435105
11_A_0003	2230	767	1154	1118	0	5269	5269	0.27082937938887836
11_O_0001	371	2627	783	1066	0	4847	4847	-0.40705591087270476
11_O_0002	494	2620	0	662	0	3776	3776	-0.3877118644067797
11_O_0003	1407	811	786	271	0	3275	3275	0.024732824427480916
12_A_0001	595	1817	0	1899	0	4311	4311	0.15704012990025515
12_A_0002	268	2553	195	5517	161	8533	8694	0.3493213710605015
12_A_0003	554	2067	0	4039	0	6660	6660	0.3792792792792793
12_O_0001	0	1888	3802	288	284	5978	6262	-0.862663685723411
12_O_0002	156	462	4615	167	366	5400	5766	-0.8244883801595561
12_O_0003	0	268	4116	399	162	4783	4945	-0.8058645096056622
1_A_0001	4368	1183	433	398	0	6382	6382	0.4935756816045127
1_A_0002	2331	427	255	900	0	3913	3913	0.6514183490927677
1_A_0003	3498	235	1579	843	0	6155	6155	0.4105605199025183
1_O_0001	0	727	1762	0	81	2489	2570	-0.9684824902723735
1_O_0002	1197	914	890	0	0	3001	3001	-0.20226591136287905
1_O_0003	141	246	2213	0	0	2600	2600	-0.8915384615384615
2_A_0001	555	3462	0	766	0	4783	4783	-0.4476270123353544
2_A_0002	0	948	820	2491	0	4259	4259	0.16975815919229867
2_A_0003	3553	908	755	709	282	5925	6207	0.4187207990977928
2_O_0001	400	3713	798	1090	0	6001	6001	-0.5034160973171138
2_O_0002	236	904	1151	0	0	2291	2291	-0.7939764295067656
2_O_0003	456	714	2306	514	493	3990	4483	-0.4572830693731876
3_A_0001	185	906	397	679	0	2167	2167	-0.2025842178126442
3_A_0002	1302	518	764	754	188	3338	3526	0.21951219512195122
3_A_0003	1929	243	1134	1514	0	4820	4820	0.42863070539419085
3_O_0001	871	258	3114	0	492	4243	4735	-0.528194297782471
3_O_0002	702	1014	2629	486	0	4831	4831	-0.5081763610018629
3_O_0003	601	2625	250	583	0	4059	4059	-0.4166050751416605
4_A_0001	699	1239	369	2697	0	5004	5004	0.35731414868105515
4_A_0002	2249	184	882	1241	0	4556	4556	0.5320456540825286
4_A_0003	3913	486	1517	533	343	6449	6792	0.35968786808009423
4_O_0001	394	963	2590	666	175	4613	4788	-0.5206766917293233
4_O_0002	263	654	1813	0	0	2730	2730	-0.8073260073260073
4_O_0003	627	5229	1216	0	0	7072	7072	-0.8226809954751131
5_A_0001	4462	855	189	711	146	6217	6363	0.6489077479176489
5_A_0002	3530	233	1093	158	197	5014	5211	0.45327192477451544
5_A_0003	3381	639	1328	0	253	5348	5601	0.2524549187645063
5_O_0001	0	0	511	283	0	794	794	-0.2871536523929471
5_O_0002	369	1196	1494	9	128	3068	3196	-0.723404255319149
5_O_0003	1262	3414	0	0	329	4676	5005	-0.42997002997003
6_A_0001	1941	505	3277	224	0	5947	5947	-0.27190179922650076
6_A_0002	826	936	0	1928	0	3690	3690	0.4926829268292683
6_A_0003	202	2321	0	1881	0	4404	4404	-0.05404178019981835
6_O_0001	453	2356	260	984	0	4053	4053	-0.2908956328645448
6_O_0002	564	4482	254	0	0	5300	5300	-0.7871698113207547
6_O_0003	196	2716	0	169	0	3081	3081	-0.7630639402791302
8_A_0001	882	2083	262	1405	0	4632	4632	-0.012521588946459413
8_A_0002	830	2290	23	2285	0	5428	5428	0.1477523949889462
8_A_0003	6820	0	1183	0	191	8003	8194	0.6879423968757628
8_O_0001	440	7341	259	0	282	8040	8322	-0.8603701033405431
8_O_0002	0	1387	3016	255	170	4658	4828	-0.8591549295774648
8_O_0003	0	2061	1138	0	231	3199	3430	-0.9326530612244898
9_A_0001	1633	1482	225	1459	0	4799	4799	0.28860179204000835
9_A_0002	2531	1094	726	898	0	5249	5249	0.30653457801485995
9_A_0003	866	1247	0	578	0	2691	2691	0.07320698625046451
9_O_0001	584	972	753	0	0	2309	2309	-0.4941533131225639
9_O_0002	822	6918	0	355	0	8095	8095	-0.7092032118591723
9_O_0003	516	3640	277	0	102	4433	4535	-0.7499448732083793
