Assay,Image_ID,counter,strain,drug,Drug_Count,Control_Count,count,CI,,,
20180307,1_A_0001,manual,MY16,isa,3,16,19,-0.684210526,,,
20180307,1_A_0002,manual,MY16,isa,2,10,12,-0.666666667,,,
20180307,1_O_0001,manual,MY16,o,2,10,12,-0.666666667,,,
20180307,1_O_0002,manual,MY16,o,2,11,13,-0.692307692,,,
20180307,2_A_0001,manual,JU775,isa,0,15,15,-1,,,
20180307,2_A_0002,manual,JU775,isa,0,18,18,-1,,,
20180307,2_A_0003,manual,JU775,isa,0,11,11,-1,,,
20180307,2_O_0001,manual,JU775,o,2,13,15,-0.733333333,,,
20180307,2_O_0002,manual,JU775,o,2,23,25,-0.84,,,
20180307,3_A_0001,manual,JT11398,isa,1,8,9,-0.777777778,,,
20180307,3_A_0002,manual,JT11398,isa,2,12,14,-0.714285714,,,
20180307,3_A_0003,manual,JT11398,isa,2,13,15,-0.733333333,,,
20180307,3_O_0001,manual,JT11398,o,3,16,19,-0.684210526,,,
20180307,3_O_0002,manual,JT11398,o,4,7,11,-0.272727273,,,
20180307,3_O_0003,manual,JT11398,o,4,18,22,-0.636363636,,,
20180307,4_A_0001,manual,JU258,isa,0,0,0,#DIV/0!,,,
20180307,4_A_0002,manual,JU258,isa,0,0,0,#DIV/0!,,,
20180307,4_A_0003,manual,JU258,isa,1,12,13,-0.846153846,,,
20180307,4_O_0001,manual,JU258,o,1,13,14,-0.857142857,,,
20180307,4_O_0002,manual,JU258,o,0,0,0,#DIV/0!,,,
20180307,4_O_0003,manual,JU258,o,1,18,19,-0.894736842,,,
20180307,5_A_0001,manual,CX11314,isa,1,15,16,-0.875,,,
20180307,5_A_0002,manual,CX11314,isa,0,0,0,#DIV/0!,,,
20180307,5_A_0003,manual,CX11314,isa,2,13,15,-0.733333333,,,
20180307,5_O_0001,manual,CX11314,o,1,19,20,-0.9,,,
20180307,5_O_0002,manual,CX11314,o,4,17,21,-0.619047619,,,
20180307,5_O_0003,manual,CX11314,o,3,11,14,-0.571428571,,,
20180307,6_A_0001,manual,EG4725,isa,0,0,0,#DIV/0!,,,
20180307,6_A_0002,manual,EG4725,isa,0,0,0,#DIV/0!,,,
20180307,6_A_0003,manual,EG4725,isa,1,10,11,-0.818181818,,,
20180307,6_O_0001,manual,EG4725,o,1,9,10,-0.8,,,
20180307,6_O_0002,manual,EG4725,o,1,16,17,-0.882352941,,,
20180307,6_O_0003,manual,EG4725,o,2,11,13,-0.692307692,,,
20180307,7_A_0001,manual,DL238,isa,0,0,0,#DIV/0!,,,
20180307,7_A_0002,manual,DL238,isa,0,0,0,#DIV/0!,,,
20180307,7_A_0003,manual,DL238,isa,2,10,12,-0.666666667,,,
20180307,7_O_0001,manual,DL238,o,3,16,19,-0.684210526,,,
20180307,7_O_0002,manual,DL238,o,2,22,24,-0.833333333,,,
20180307,7_O_0003,manual,DL238,o,11,14,25,-0.12,,,
20180307,8_A_0001,manual,MY23,isa,3,14,17,-0.647058824,,,
20180307,8_A_0002,manual,MY23,isa,0,0,0,#DIV/0!,,,
