Assay,Image_ID,counter,strain,drug,Drug_Count,Control_Count,count,CI,,,
20180307,8_A_0003,manual,MY23,isa,1,13,14,-0.857142857,,,
20180307,8_O_0001,manual,MY23,o,1,22,23,-0.913043478,,,
20180307,8_O_0002,manual,MY23,o,1,18,19,-0.894736842,,,
20180307,8_O_0003,manual,MY23,o,0,0,0,#DIV/0!,,,
20180307,9_A_0001,manual,LKC34,isa,3,11,14,-0.571428571,,,
20180307,9_A_0002,manual,LKC34,isa,0,0,0,#DIV/0!,,,
20180307,9_A_0003,manual,LKC34,isa,1,8,9,-0.777777778,,,
20180307,9_O_0001,manual,LKC34,o,3,14,17,-0.647058824,,,
20180307,9_O_0002,manual,LKC34,o,2,22,24,-0.833333333,,,
20180307,9_O_0003,manual,LKC34,o,1,17,18,-0.888888889,,,
20180307,10_A_0001,manual,N2,isa,3,17,20,-0.7,,,
20180307,10_A_0002,manual,N2,isa,1,18,19,-0.894736842,,,
20180307,10_A_0003,manual,N2,isa,0,0,0,#DIV/0!,,,
20180307,10_O_0001,manual,N2,o,1,17,18,-0.888888889,,,
20180307,10_O_0002,manual,N2,o,0,0,0,#DIV/0!,,,
20180307,10_O_0003,manual,N2,o,1,18,19,-0.894736842,,,
20180307,11_A_0001,manual,ED3017,isa,1,4,5,-0.6,,,
20180307,11_A_0002,manual,ED3017,isa,0,0,0,#DIV/0!,,,
20180307,11_A_0003,manual,ED3017,isa,2,6,8,-0.5,,,
20180307,11_O_0001,manual,ED3017,o,2,12,14,-0.714285714,,,
20180307,11_O_0002,manual,ED3017,o,5,8,13,-0.230769231,,,
20180307,11_O_0003,manual,ED3017,o,0,0,0,#DIV/0!,,,
20180307,12_A_0001,manual,CB4856,isa,0,0,0,#DIV/0!,,,
20180307,12_A_0002,manual,CB4856,isa,1,7,8,-0.75,,,
20180307,12_A_0003,manual,CB4856,isa,0,0,0,#DIV/0!,,,
20180307,12_O_0001,manual,CB4856,o,3,6,9,-0.333333333,,,
20180307,12_O_0002,manual,CB4856,o,1,14,15,-0.866666667,,,
20180307,12_O_0003,manual,CB4856,o,2,11,13,-0.692307692,,,
20180321,1_A_0001,manual,LKC34,isa,25,11,36,0.388888889,,,
20180321,1_A_0002,manual,LKC34,isa,22,13,35,0.257142857,,,
20180321,1_A_0003,manual,LKC34,isa,18,10,28,0.285714286,,,
20180321,1_O_0001,manual,LKC34,o,2,22,24,-0.833333333,,,
20180321,1_O_0002,manual,LKC34,o,6,18,24,-0.5,,,
20180321,1_O_0003,manual,LKC34,o,1,27,28,-0.928571429,,,
20180321,2_A_0001,manual,CX11314,isa,18,20,38,-0.052631579,,,
20180321,2_A_0002,manual,CX11314,isa,20,9,29,0.379310345,,,
20180321,2_A_0003,manual,CX11314,isa,21,12,33,0.272727273,,,
20180321,2_O_0001,manual,CX11314,o,7,20,27,-0.481481482,,,
20180321,2_O_0002,manual,CX11314,o,4,22,26,-0.692307692,,,
20180321,2_O_0003,manual,CX11314,o,6,20,26,-0.538461539,,,
20180321,3_A_0001,manual,JU258,isa,21,11,32,0.3125,,,
20180321,3_A_0002,manual,JU258,isa,16,11,27,0.185185185,,,
20180321,3_A_0003,manual,JU258,isa,20,17,37,0.081081081,,,
20180321,3_O_0001,manual,JU258,o,6,20,26,-0.538461539,,,
20180321,3_O_0002,manual,JU258,o,4,16,20,-0.6,,,
20180321,3_O_0003,manual,JU258,o,3,23,26,-0.769230769,,,
20180321,4_A_0001,manual,JT11398,isa,24,13,37,0.297297297,,,
20180321,4_A_0002,manual,JT11398,isa,27,8,35,0.542857143,,,
20180321,4_A_0003,manual,JT11398,isa,26,10,36,0.444444444,,,
20180321,4_O_0001,manual,JT11398,o,0,29,29,-1,,,
20180321,4_O_0002,manual,JT11398,o,1,28,29,-0.931034483,,,
20180321,4_O_0003,manual,JT11398,o,1,33,34,-0.941176471,,,
20180321,5_A_0001,manual,MY23,isa,20,8,28,0.428571429,,,
20180321,5_A_0002,manual,MY23,isa,19,8,27,0.407407407,,,
20180321,5_A_0003,manual,MY23,isa,17,11,28,0.214285714,,,
20180321,5_O_0001,manual,MY23,o,3,14,17,-0.647058824,,,
20180321,5_O_0002,manual,MY23,o,4,14,18,-0.555555556,,,
20180321,5_O_0003,manual,MY23,o,2,23,25,-0.84,,,
20180321,6_A_0001,manual,CB4856,isa,15,16,31,-0.032258065,,,
20180321,6_A_0002,manual,CB4856,isa,23,8,31,0.483870968,,,
20180321,6_A_0003,manual,CB4856,isa,17,17,34,0,,,
20180321,6_O_0001,manual,CB4856,o,7,13,20,-0.3,,,
20180321,6_O_0002,manual,CB4856,o,3,21,24,-0.75,,,
20180321,6_O_0003,manual,CB4856,o,3,16,19,-0.684210526,,,
20180321,8_A_0001,manual,N2,isa,23,11,34,0.352941177,,,
20180321,8_A_0002,manual,N2,isa,27,10,37,0.45945946,,,
20180321,8_A_0003,manual,N2,isa,33,6,39,0.692307692,,,
20180321,8_O_0001,manual,N2,o,1,34,35,-0.942857143,,,
20180321,8_O_0002,manual,N2,o,1,24,25,-0.92,,,
20180321,8_O_0003,manual,N2,o,0,35,35,-1,,,
20180321,9_A_0001,manual,EG4725,isa,25,9,34,0.470588235,,,
20180321,9_A_0002,manual,EG4725,isa,21,12,33,0.272727273,,,
20180321,9_A_0003,manual,EG4725,isa,24,7,31,0.548387097,,,
20180321,9_O_0001,manual,EG4725,o,2,18,20,-0.8,,,
20180321,9_O_0002,manual,EG4725,o,1,30,31,-0.935483871,,,
20180321,9_O_0003,manual,EG4725,o,2,24,26,-0.846153846,,,
20180321,10_A_0001,manual,MY16,isa,16,20,36,-0.111111111,,,
20180321,10_A_0002,manual,MY16,isa,19,12,31,0.225806452,,,
20180321,10_A_0003,manual,MY16,isa,16,7,23,0.391304348,,,
20180321,10_O_0001,manual,MY16,o,1,30,31,-0.935483871,,,
20180321,10_O_0002,manual,MY16,o,3,29,32,-0.8125,,,
20180321,10_O_0003,manual,MY16,o,6,13,19,-0.368421053,,,
20180321,11_A_0001,manual,DL238,isa,21,6,27,0.555555556,,,
20180321,11_A_0002,manual,DL238,isa,19,11,30,0.266666667,,,
20180321,11_A_0003,manual,DL238,isa,19,11,30,0.266666667,,,
20180321,11_O_0001,manual,DL238,o,4,22,26,-0.692307692,,,
20180321,11_O_0002,manual,DL238,o,3,15,18,-0.666666667,,,
20180321,11_O_0003,manual,DL238,o,6,18,24,-0.5,,,
20180321,12_A_0001,manual,JU775,isa,25,9,34,0.470588235,,,
20180321,12_A_0002,manual,JU775,isa,28,7,35,0.6,,,
20180321,12_A_0003,manual,JU775,isa,23,6,29,0.586206897,,,
20180321,12_O_0001,manual,JU775,o,1,29,30,-0.933333333,,,
20180321,12_O_0002,manual,JU775,o,1,29,30,-0.933333333,,,
20180321,12_O_0003,manual,JU775,o,0,29,29,-1,,,
20180420,1_A_0001,manual,CB4856,isa,16,8,24,0.333333333,,,
20180420,1_A_0002,manual,CB4856,isa,27,10,37,0.45945946,,,
20180420,1_A_0003,manual,CB4856,isa,24,15,39,0.230769231,,,
20180420,1_O_0001,manual,CB4856,o,4,22,26,-0.692307692,,,
20180420,1_O_0002,manual,CB4856,o,12,16,28,-0.142857143,,,
20180420,1_O_0003,manual,CB4856,o,1,20,21,-0.904761905,,,
20180420,2_A_0001,manual,CX11314,isa,14,14,28,0,,,
20180420,2_A_0002,manual,CX11314,isa,25,19,44,0.136363636,,,
20180420,2_A_0003,manual,CX11314,isa,24,10,34,0.411764706,,,
20180420,2_O_0001,manual,CX11314,o,10,34,44,-0.545454546,,,
20180420,2_O_0002,manual,CX11314,o,4,26,30,-0.733333333,,,
20180420,2_O_0003,manual,CX11314,o,9,29,38,-0.52631579,,,
20180420,3_A_0001,manual,LKC34,isa,18,24,42,-0.142857143,,,
20180420,3_A_0002,manual,LKC34,isa,26,12,38,0.368421053,,,
20180420,3_A_0003,manual,LKC34,isa,25,11,36,0.388888889,,,
20180420,3_O_0001,manual,LKC34,o,5,21,26,-0.615384615,,,
20180420,3_O_0002,manual,LKC34,o,1,27,28,-0.928571429,,,
20180420,3_O_0003,manual,LKC34,o,1,37,38,-0.947368421,,,
20180420,4_A_0001,manual,N2,isa,30,4,34,0.764705882,,,
20180420,4_A_0002,manual,N2,isa,31,4,35,0.771428571,,,
20180420,4_A_0003,manual,N2,isa,38,6,44,0.727272727,,,
20180420,4_O_0001,manual,N2,o,1,40,41,-0.951219512,,,
20180420,4_O_0002,manual,N2,o,2,31,33,-0.878787879,,,
20180420,4_O_0003,manual,N2,o,1,32,33,-0.939393939,,,
20180420,5_A_0001,manual,MY16,isa,24,13,37,0.297297297,,,
20180420,5_A_0002,manual,MY16,isa,18,8,26,0.384615385,,,
20180420,5_A_0003,manual,MY16,isa,19,15,34,0.117647059,,,
20180420,5_O_0001,manual,MY16,o,5,22,27,-0.62962963,,,
20180420,5_O_0002,manual,MY16,o,5,21,26,-0.615384615,,,
20180420,5_O_0003,manual,MY16,o,9,19,28,-0.357142857,,,
20180420,6_A_0001,manual,MY23,isa,22,10,32,0.375,,,
20180420,6_A_0002,manual,MY23,isa,16,14,30,0.066666667,,,
20180420,6_A_0003,manual,MY23,isa,19,12,31,0.225806452,,,
20180420,6_O_0001,manual,MY23,o,4,21,25,-0.68,,,
20180420,6_O_0002,manual,MY23,o,3,17,20,-0.7,,,
20180420,6_O_0003,manual,MY23,o,9,16,25,-0.28,,,
20180420,7_A_0001,manual,JT11398,isa,26,9,35,0.485714286,,,
20180420,7_A_0002,manual,JT11398,isa,23,5,28,0.642857143,,,
20180420,7_A_0003,manual,JT11398,isa,25,6,31,0.612903226,,,
20180420,7_O_0001,manual,JT11398,o,3,33,36,-0.833333333,,,
20180420,7_O_0002,manual,JT11398,o,3,39,42,-0.857142857,,,
20180420,7_O_0003,manual,JT11398,o,4,29,33,-0.757575758,,,
20180420,8_A_0001,manual,JU775,isa,23,10,33,0.393939394,,,
20180420,8_A_0002,manual,JU775,isa,22,11,33,0.333333333,,,
20180420,8_A_0003,manual,JU775,isa,24,10,34,0.411764706,,,
20180420,8_O_0001,manual,JU775,o,4,27,31,-0.741935484,,,
20180420,8_O_0002,manual,JU775,o,4,24,28,-0.714285714,,,
20180420,8_O_0003,manual,JU775,o,3,28,31,-0.806451613,,,
20180420,9_A_0001,manual,JU258,isa,12,9,21,0.142857143,,,
20180420,9_A_0002,manual,JU258,isa,9,14,23,-0.217391304,,,
20180420,9_A_0003,manual,JU258,isa,14,11,25,0.12,,,
20180420,9_O_0001,manual,JU258,o,6,15,21,-0.428571429,,,
20180420,9_O_0002,manual,JU258,o,6,17,23,-0.47826087,,,
20180420,9_O_0003,manual,JU258,o,4,13,17,-0.529411765,,,
20180420,10_A_0001,manual,DL238,isa,23,13,36,0.277777778,,,
20180420,10_A_0002,manual,DL238,isa,23,13,36,0.277777778,,,
20180420,10_A_0003,manual,DL238,isa,25,5,30,0.666666667,,,
20180420,10_O_0001,manual,DL238,o,5,29,34,-0.705882353,,,
20180420,10_O_0002,manual,DL238,o,1,24,25,-0.92,,,
20180420,10_O_0003,manual,DL238,o,2,28,30,-0.866666667,,,
20180420,11_A_0001,manual,EG4725,isa,27,12,39,0.384615385,,,
20180420,11_A_0002,manual,EG4725,isa,26,18,44,0.181818182,,,
20180420,11_A_0003,manual,EG4725,isa,28,12,40,0.4,,,
20180420,11_O_0001,manual,EG4725,o,1,33,34,-0.941176471,,,
20180420,11_O_0002,manual,EG4725,o,2,37,39,-0.897435897,,,
20180420,11_O_0003,manual,EG4725,o,1,39,40,-0.95,,,
20180420,12_A_0001,manual,ED3017,isa,29,3,32,0.8125,,,
20180420,12_A_0002,manual,ED3017,isa,0,0,0,0,,,
20180420,12_O_0001,manual,ED3017,o,4,19,23,-0.652173913,,,
20180508,1_A_0001,manual,JT11398,isa,24,4,28,0.714285714,,,
20180508,1_A_0002,manual,JT11398,isa,20,16,36,0.111111111,,,
20180508,1_A_0003,manual,JT11398,isa,17,9,26,0.307692308,,,
20180508,1_O_0001,manual,JT11398,o,12,14,26,-0.076923077,,,
20180508,1_O_0002,manual,JT11398,o,9,12,21,-0.142857143,,,
20180508,1_O_0003,manual,JT11398,o,10,23,33,-0.393939394,,,
20180508,2_A_0001,manual,CX11314,isa,25,7,32,0.5625,,,
20180508,2_A_0002,manual,CX11314,isa,23,9,32,0.4375,,,
20180508,2_A_0003,manual,CX11314,isa,33,3,36,0.833333333,,,
20180508,2_O_0001,manual,CX11314,o,1,23,24,-0.916666667,,,
20180508,2_O_0002,manual,CX11314,o,10,14,24,-0.166666667,,,
20180508,2_O_0003,manual,CX11314,o,2,23,25,-0.84,,,
20180508,3_A_0001,manual,LKC34,isa,25,11,36,0.388888889,,,
20180508,3_A_0002,manual,LKC34,isa,17,18,35,-0.028571429,,,
20180508,3_A_0003,manual,LKC34,isa,2,29,31,-0.870967742,,,
20180508,3_O_0001,manual,LKC34,o,8,28,36,-0.555555556,,,
20180508,3_O_0002,manual,LKC34,o,11,31,42,-0.476190476,,,
20180508,3_O_0003,manual,LKC34,o,2,20,22,-0.818181818,,,
20180508,4_A_0001,manual,CB4856,isa,18,21,39,-0.076923077,,,
20180508,4_A_0002,manual,CB4856,isa,17,14,31,0.096774194,,,
20180508,4_A_0003,manual,CB4856,isa,16,13,29,0.103448276,,,
20180508,4_O_0001,manual,CB4856,o,2,24,26,-0.846153846,,,
20180508,4_O_0002,manual,CB4856,o,3,24,27,-0.777777778,,,
20180508,4_O_0003,manual,CB4856,o,5,25,30,-0.666666667,,,
20180508,6_A_0001,manual,JU775,isa,25,8,33,0.515151515,,,
20180508,6_A_0002,manual,JU775,isa,27,5,32,0.6875,,,
20180508,6_A_0003,manual,JU775,isa,29,5,34,0.705882353,,,
20180508,6_O_0001,manual,JU775,o,10,13,23,-0.130434783,,,
20180508,6_O_0002,manual,JU775,o,6,17,23,-0.47826087,,,
20180508,6_O_0003,manual,JU775,o,8,18,26,-0.384615385,,,
20180508,7_A_0001,manual,MY16,isa,18,17,35,0.028571429,,,
20180508,7_A_0002,manual,MY16,isa,18,8,26,0.384615385,,,
20180508,7_A_0003,manual,MY16,isa,18,14,32,0.125,,,
20180508,7_O_0001,manual,MY16,o,3,28,31,-0.806451613,,,
20180508,7_O_0002,manual,MY16,o,5,23,28,-0.642857143,,,
20180508,7_O_0003,manual,MY16,o,1,30,31,-0.935483871,,,
20180508,8_A_0001,manual,EG4725,isa,27,5,32,0.6875,,,
20180508,8_A_0002,manual,EG4725,isa,26,2,28,0.857142857,,,
20180508,8_A_0003,manual,EG4725,isa,23,12,35,0.314285714,,,
20180508,8_O_0001,manual,EG4725,o,1,24,25,-0.92,,,
20180508,8_O_0002,manual,EG4725,o,2,32,34,-0.882352941,,,
20180508,8_O_0003,manual,EG4725,o,3,26,29,-0.793103448,,,
20180508,9_A_0001,manual,N2,isa,33,2,35,0.885714286,,,
20180508,9_A_0002,manual,N2,isa,22,10,32,0.375,,,
20180508,9_A_0003,manual,N2,isa,31,9,40,0.55,,,
20180508,9_O_0001,manual,N2,o,2,38,40,-0.9,,,
20180508,9_O_0002,manual,N2,o,0,39,39,-1,,,
20180508,9_O_0003,manual,N2,o,3,28,31,-0.806451613,,,
20180508,10_A_0001,manual,MY23,isa,26,6,32,0.625,,,
20180508,10_A_0002,manual,MY23,isa,21,7,28,0.5,,,
20180508,10_A_0003,manual,MY23,isa,31,5,36,0.722222222,,,
20180508,10_O_0001,manual,MY23,o,5,17,22,-0.545454545,,,
20180508,10_O_0002,manual,MY23,o,6,25,31,-0.612903226,,,
20180508,10_O_0003,manual,MY23,o,9,19,28,-0.357142857,,,
20180508,11_A_0001,manual,DL238,isa,7,11,18,-0.222222222,,,
20180508,11_A_0002,manual,DL238,isa,19,9,28,0.357142857,,,
20180508,11_A_0003,manual,DL238,isa,20,11,31,0.290322581,,,
20180508,11_O_0001,manual,DL238,o,3,21,24,-0.75,,,
20180508,11_O_0002,manual,DL238,o,5,20,25,-0.6,,,
20180508,11_O_0003,manual,DL238,o,2,17,19,-0.789473684,,,
20180508,12_A_0001,manual,JU258,isa,25,5,30,0.666666667,,,
20180508,12_A_0002,manual,JU258,isa,25,8,33,0.515151515,,,
20180508,12_A_0003,manual,JU258,isa,18,9,27,0.333333333,,,
20180508,12_O_0001,manual,JU258,o,5,19,24,-0.583333333,,,
20180508,12_O_0002,manual,JU258,o,4,25,29,-0.724137931,,,
20180508,12_O_0003,manual,JU258,o,5,18,23,-0.565217391,,,
20180420,10_A_0001,auto,DL238,isa,,,,0.117626744,,,
20180420,10_A_0002,auto,DL238,isa,,,,0.220487953,,,
20180420,10_A_0003,auto,DL238,isa,,,,0.45661517,,,
20180420,10_O_0001,auto,DL238,o,,,,-0.511625996,,,
20180420,10_O_0002,auto,DL238,o,,,,-0.773988781,,,
20180420,10_O_0003,auto,DL238,o,,,,-0.839450549,,,
20180420,11_A_0001,auto,EG4725,isa,,,,0.506164775,,,
20180420,11_A_0002,auto,EG4725,isa,,,,0.026650097,,,
20180420,11_A_0003,auto,EG4725,isa,,,,0.136979428,,,
20180420,11_O_0001,auto,EG4725,o,,,,-0.747440832,,,
20180420,11_O_0002,auto,EG4725,o,,,,-0.60348292,,,
20180420,11_O_0003,auto,EG4725,o,,,,-0.879266311,,,
20180420,12_A_0001,auto,ED3017,isa,,,,0.595937897,,,
20180420,12_A_0002,auto,ED3017,isa,,,,0.588490771,,,
20180420,12_O_0001,auto,ED3017,o,,,,-0.476368802,,,
20180420,1_A_0001,auto,CB4856,isa,,,,0.37644477,,,
20180420,1_A_0002,auto,CB4856,isa,,,,0.385004075,,,
20180420,1_A_0003,auto,CB4856,isa,,,,0.30417154,,,
20180420,1_O_0001,auto,CB4856,o,,,,-0.372217593,,,
20180420,1_O_0002,auto,CB4856,o,,,,0.002614068,,,
20180420,1_O_0003,auto,CB4856,o,,,,-0.357118035,,,
20180420,2_O_0001,auto,CX11314,o,,,,-0.427556458,,,
20180420,2_O_0002,auto,CX11314,o,,,,-0.413116268,,,
20180420,2_O_0003,auto,CX11314,o,,,,-0.311725985,,,
20180420,2_A_0001,auto,CX11314,isa,,,,-0.15959253,,,
20180420,2_A_0002,auto,CX11314,isa,,,,0.193750509,,,
20180420,2_A_0003,auto,CX11314,isa,,,,0.283105478,,,
20180420,3_A_0001,auto,LKC34,isa,,,,0.11137931,,,
20180420,3_A_0002,auto,LKC34,isa,,,,0.360605283,,,
20180420,3_A_0003,auto,LKC34,isa,,,,0.491885512,,,
20180420,3_O_0001,auto,LKC34,o,,,,-0.4673429,,,
20180420,3_O_0002,auto,LKC34,o,,,,-0.608260789,,,
20180420,3_O_0003,auto,LKC34,o,,,,-0.7994526,,,
20180420,4_A_0001,auto,N2,isa,,,,0.458708755,,,
20180420,4_A_0002,auto,N2,isa,,,,0.412830134,,,
20180420,4_A_0003,auto,N2,isa,,,,0.385821285,,,
20180420,4_O_0001,auto,N2,o,,,,-0.73229113,,,
20180420,4_O_0002,auto,N2,o,,,,-0.638920436,,,
20180420,4_O_0003,auto,N2,o,,,,-0.813077594,,,
20180420,5_A_0001,auto,MY16,isa,,,,0.033328596,,,
20180420,5_A_0002,auto,MY16,isa,,,,0.078338794,,,
20180420,5_A_0003,auto,MY16,isa,,,,0.136599231,,,
20180420,5_O_0001,auto,MY16,o,,,,-0.497170919,,,
20180420,5_O_0002,auto,MY16,o,,,,-0.661713982,,,
20180420,5_O_0003,auto,MY16,o,,,,-0.151215253,,,
20180420,6_A_0001,auto,MY23,isa,,,,0.146498871,,,
20180420,6_A_0002,auto,MY23,isa,,,,-0.034381932,,,
20180420,6_A_0003,auto,MY23,isa,,,,0.173244395,,,
20180420,6_O_0001,auto,MY23,o,,,,-0.276284585,,,
20180420,6_O_0002,auto,MY23,o,,,,-0.236977824,,,
20180420,6_O_0003,auto,MY23,o,,,,-0.089033943,,,
20180420,7_A_0001,auto,JT11398,isa,,,,0.355523099,,,
20180420,7_A_0002,auto,JT11398,isa,,,,0.103190712,,,
20180420,7_A_0003,auto,JT11398,isa,,,,0.51093766,,,
20180420,7_O_0001,auto,JT11398,o,,,,-0.504470628,,,
20180420,7_O_0002,auto,JT11398,o,,,,-0.542872636,,,
20180420,7_O_0003,auto,JT11398,o,,,,-0.618398215,,,
20180420,8_A_0001,auto,JU775,isa,,,,0.414986352,,,
20180420,8_A_0002,auto,JU775,isa,,,,0.197238812,,,
20180420,8_O_0001,auto,JU775,o,,,,-0.420924203,,,
20180420,8_O_0002,auto,JU775,o,,,,-0.6686736,,,
20180420,8_O_0003,auto,JU775,o,,,,-0.449636379,,,
20180420,9_A_0001,auto,JU258,isa,,,,0.015268817,,,
20180420,9_A_0002,auto,JU258,isa,,,,-0.222235918,,,
20180420,9_A_0003,auto,JU258,isa,,,,0.148791152,,,
20180420,9_O_0001,auto,JU258,o,,,,-0.136747274,,,
20180420,9_O_0002,auto,JU258,o,,,,-0.451705087,,,
20180420,9_O_0003,auto,JU258,o,,,,-0.138433515,,,
20180321,1_A_0001,auto,LKC34,isa,,,,0.279669981,,,
20180321,1_A_0002,auto,LKC34,isa,,,,0.239266508,,,
20180321,1_A_0003,auto,LKC34,isa,,,,0.304183024,,,
20180321,1_O_0001,auto,LKC34,o,,,,-0.56055529,,,
20180321,1_O_0002,auto,LKC34,o,,,,-0.342918401,,,
20180321,1_O_0003,auto,LKC34,o,,,,-0.837667162,,,
20180321,2_A_0001,auto,CX11314,isa,,,,0.036626995,,,
20180321,2_A_0002,auto,CX11314,isa,,,,0.383738872,,,
20180321,2_A_0003,auto,CX11314,isa,,,,-0.027599375,,,
20180321,2_O_0001,auto,CX11314,o,,,,-0.36016898,,,
20180321,2_O_0002,auto,CX11314,o,,,,-0.381055676,,,
20180321,2_O_0003,auto,CX11314,o,,,,-0.436277174,,,
20180321,3_A_0001,auto,JU258,isa,,,,0.276245163,,,
20180321,3_A_0002,auto,JU258,isa,,,,0.279063245,,,
20180321,3_A_0003,auto,JU258,isa,,,,0.03603416,,,
20180321,3_O_0001,auto,JU258,o,,,,-0.342881418,,,
20180321,3_O_0002,auto,JU258,o,,,,-0.482505248,,,
20180321,3_O_0003,auto,JU258,o,,,,-0.466466235,,,
20180321,4_A_0001,auto,JT11398,isa,,,,0.373469943,,,
20180321,4_A_0002,auto,JT11398,isa,,,,0.527018158,,,
20180321,4_A_0003,auto,JT11398,isa,,,,0.351609281,,,
20180321,4_O_0001,auto,JT11398,o,,,,-0.662378669,,,
20180321,4_O_0002,auto,JT11398,o,,,,-0.759440559,,,
20180321,4_O_0003,auto,JT11398,o,,,,-0.739606799,,,
20180321,5_A_0001,auto,MY23,isa,,,,0.427054084,,,
20180321,5_A_0002,auto,MY23,isa,,,,0.450403877,,,
20180321,5_A_0003,auto,MY23,isa,,,,0.442371834,,,
20180321,5_O_0001,auto,MY23,o,,,,-0.449140546,,,
20180321,5_O_0002,auto,MY23,o,,,,-0.314393939,,,
20180321,5_O_0003,auto,MY23,o,,,,-0.59377125,,,
20180321,6_A_0001,auto,CB4856,isa,,,,0.059407139,,,
20180321,6_A_0002,auto,CB4856,isa,,,,0.612272014,,,
20180321,6_A_0003,auto,CB4856,isa,,,,0.111995452,,,
20180321,6_O_0001,auto,CB4856,o,,,,-0.084647663,,,
20180321,6_O_0002,auto,CB4856,o,,,,-0.550140206,,,
20180321,6_O_0003,auto,CB4856,o,,,,-0.499493825,,,
20180321,8_A_0001,auto,N2,isa,,,,0.361196736,,,
20180321,8_A_0002,auto,N2,isa,,,,0.501336898,,,
20180321,8_A_0003,auto,N2,isa,,,,0.696858072,,,
20180321,8_O_0001,auto,N2,o,,,,-0.619746791,,,
20180321,8_O_0002,auto,N2,o,,,,-0.719211325,,,
20180321,8_O_0003,auto,N2,o,,,,-0.806950964,,,
20180321,9_A_0001,auto,EG4725,isa,,,,0.3498534,,,
20180321,9_A_0002,auto,EG4725,isa,,,,0.327490262,,,
20180321,9_A_0003,auto,EG4725,isa,,,,0.621455265,,,
20180321,9_O_0001,auto,EG4725,o,,,,-0.70454916,,,
20180321,9_O_0002,auto,EG4725,o,,,,-0.785646136,,,
20180321,9_O_0003,auto,EG4725,o,,,,-0.617021277,,,
20180321,10_A_0001,auto,MY16,isa,,,,-0.045454545,,,
20180321,10_A_0002,auto,MY16,isa,,,,0.159518214,,,
20180321,10_A_0003,auto,MY16,isa,,,,0.402430507,,,
20180321,10_O_0001,auto,MY16,o,,,,-0.725585938,,,
20180321,10_O_0002,auto,MY16,o,,,,-0.640886332,,,
20180321,10_O_0003,auto,MY16,o,,,,-0.299343242,,,
20180321,11_A_0001,auto,DL238,isa,,,,0.545786654,,,
20180321,11_A_0002,auto,DL238,isa,,,,0.209677419,,,
