fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	4785	2447	3937	3302	7	14471	14478	0.11762674402541788
10_A_0002	3693	3132	2012	4361	0	13198	13198	0.2204879527201091
10_A_0003	4251	1045	1294	2019	0	8609	8609	0.45661517017075154
10_O_0001	1605	5603	3596	1367	0	12171	12171	-0.5116259962205242
10_O_0002	701	2445	3499	0	129	6645	6774	-0.7739887806318275
10_O_0003	443	3529	4752	199	177	8923	9100	-0.8394505494505494
11_A_0001	6524	2964	0	2639	120	12127	12247	0.5061647750469502
11_A_0002	1650	2710	4339	5785	0	14484	14484	0.026650096658381663
11_A_0003	5141	1490	4530	2790	0	13951	13951	0.13697942799799298
11_O_0001	1271	5580	5089	271	0	12211	12211	-0.7474408320366882
11_O_0002	1047	5493	4083	1321	0	11944	11944	-0.6034829202947086
11_O_0003	269	2114	5980	251	0	8614	8614	-0.8792663106570698
12_A_0001	5481	231	1838	2691	0	10241	10241	0.5959378966897764
12_A_0002	1705	371	387	1221	0	3684	3684	0.5884907709011944
12_O_0001	724	3101	2429	1117	373	7371	7744	-0.4763688016528926
1_A_0001	3679	947	1184	1025	0	6835	6835	0.37644476956839795
1_A_0002	4160	2106	1546	4216	242	12028	12270	0.3850040749796251
1_A_0003	4367	2622	1770	3926	140	12685	12825	0.30417153996101365
1_O_0001	2637	4874	890	0	0	8401	8401	-0.37221759314367336
1_O_0002	2639	1619	2578	1580	0	8416	8416	0.0026140684410646386
1_O_0003	2775	3596	2262	0	0	8633	8633	-0.357118035445384
2_0_0001	1827	6857	1472	1447	220	11603	11823	-0.42755645775183965
2_0_0002	1393	2806	2994	829	639	8022	8661	-0.4131162683292922
2_0_0003	1917	3402	2294	985	365	8598	8963	-0.3117259846033694
2_A_0001	1758	2921	1177	1212	0	7068	7068	-0.15959252971137522
2_A_0002	4992	2261	2693	2343	0	12289	12289	0.19375050858491333
2_A_0003	4424	2181	1234	1828	354	9667	10021	0.28310547849516016
3_A_0001	3829	4775	379	2617	0	11600	11600	0.11137931034482759
3_A_0002	2344	3630	0	5504	219	11478	11697	0.36060528340600156
3_A_0003	4046	1396	1187	3538	0	10167	10167	0.49188551195042785
3_O_0001	1687	1890	4041	466	0	8084	8084	-0.4673428995546759
3_O_0002	1493	3317	5366	622	0	10798	10798	-0.6082607890350065
3_O_0003	562	8094	2754	647	0	12057	12057	-0.7994526001492909
4_A_0001	10457	437	3584	946	669	15424	16093	0.4587087553594731
4_A_0002	7395	655	2950	1931	927	12931	13858	0.41283013421850195
4_A_0003	9585	600	4689	2349	0	17223	17223	0.3858212854903327
4_O_0001	1955	7222	7654	133	499	16964	17463	-0.732291129817328
4_O_0002	1868	4761	7029	358	953	14016	14969	-0.6389204355668381
4_O_0003	1046	9092	5943	0	1124	16081	17205	-0.813077593722755
5_A_0001	2779	2377	4180	4247	489	13583	14072	0.03332859579306424
5_A_0002	3913	1571	2731	1202	961	9417	10378	0.07833879360185007
5_A_0003	5456	1807	3099	1084	516	11446	11962	0.13659923089784318
5_O_0001	1700	3013	3999	655	0	9367	9367	-0.4971709191843707
5_O_0002	1139	4829	4453	661	225	11082	11307	-0.6617139824887238
5_O_0003	2147	1857	2027	698	142	6729	6871	-0.1512152525105516
6_A_0001	2421	1963	1754	2658	501	8796	9297	0.14649887060342046
6_A_0002	2656	1360	3459	1822	621	9297	9918	-0.034381931841096995
6_A_0003	2187	2537	1837	4057	176	10618	10794	0.1732443950342783
6_O_0001	3028	3582	2617	375	518	9602	10120	-0.27628458498023717
6_O_0002	2781	3516	1281	178	0	7756	7756	-0.2369778236204229
6_O_0003	2278	3517	654	1211	0	7660	7660	-0.08903394255874673
7_A_0001	6731	3910	192	1996	180	12829	13009	0.35552309939272814
7_A_0002	3626	3800	1723	3168	0	12317	12317	0.10319071202403182
7_A_0003	3070	1767	232	3904	764	8973	9737	0.5109376604703707
7_O_0001	2416	6407	2595	549	0	11967	11967	-0.5044706275591209
7_O_0002	606	9612	1769	2766	0	14753	14753	-0.5428726360740188
7_O_0003	1486	6770	2833	635	375	11724	12099	-0.61839821472849
8_A_0001	3968	2456	758	3959	216	11141	11357	0.4149863520295853
8_A_0002	2606	4731	257	4925	374	12519	12893	0.19723881175831848
8_O_0001	3109	3083	6010	464	448	12666	13114	-0.42092420314168066
8_O_0002	1685	4797	4349	131	0	10962	10962	-0.6686735997080825
8_O_0003	2931	6604	2067	361	0	11963	11963	-0.44963637883474045
9_A_0001	2455	3437	892	2016	500	8800	9300	0.015268817204301075
9_A_0002	1827	3010	1781	1161	334	7779	8113	-0.22223591766300999
9_A_0003	2018	2088	1209	2436	25	7751	7776	0.1487911522633745
9_O_0001	3746	3011	2903	726	159	10386	10545	-0.13674727358937885
9_O_0002	1298	3655	3965	1580	0	10498	10498	-0.45170508668317777
9_O_0003	1104	1439	2231	1654	160	6428	6588	-0.1384335154826958
