fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	4576	1370	2957	1458	187	10361	10548	0.1618316268486917
10_A_0002	4223	2383	798	1412	0	8816	8816	0.2783575317604356
10_A_0003	3257	1398	542	1910	0	7107	7107	0.4540593780779513
10_O_0001	1124	1660	5324	0	0	8108	8108	-0.7227429699062654
10_O_0002	927	6427	727	281	238	8362	8600	-0.6913953488372093
10_O_0003	1907	1299	2101	122	0	5429	5429	-0.25253269478725365
11_A_0001	3622	1022	758	2359	194	7761	7955	0.528095537397863
11_A_0002	2563	1959	1177	2094	0	7793	7793	0.19517515719235212
11_A_0003	3519	1272	1154	1829	0	7774	7774	0.3758682788783123
11_O_0001	1151	2340	3069	547	120	7107	7227	-0.5134910751349108
11_O_0002	1232	1621	2302	272	0	5427	5427	-0.4457342915054358
11_O_0003	1790	3491	1061	552	375	6894	7269	-0.30403081579309393
12_A_0001	5199	1377	946	2207	143	9729	9872	0.5148905996758509
12_A_0002	2931	2568	281	5514	356	11294	11650	0.480343347639485
12_A_0003	2796	1588	259	3434	303	8077	8380	0.5230310262529833
12_O_0001	0	3638	4176	289	284	8103	8387	-0.8972218910218195
12_O_0002	1128	2364	4806	327	530	8625	9155	-0.6242490442381212
12_O_0003	0	1214	5208	0	0	6422	6422	-1.0
1_A_0001	5048	2088	831	985	0	8952	8952	0.34785522788203754
1_A_0002	2614	2688	403	2855	384	8560	8944	0.26587656529516995
1_A_0003	4324	410	1929	493	0	7156	7156	0.3462828395751817
1_O_0001	604	542	4254	603	0	6003	6003	-0.5978677328002665
1_O_0002	2467	5999	485	0	0	8951	8951	-0.44877667299743046
1_O_0003	610	5648	1599	264	0	8121	8121	-0.7847555719738949
2_A_0001	3577	3912	567	766	0	8822	8822	-0.015416005440943096
2_A_0002	4131	1270	1172	2603	0	9176	9176	0.46774193548387094
2_A_0003	3208	1465	1555	2394	0	8622	8622	0.29946648109487356
2_O_0001	1334	4210	1015	1251	159	7810	7969	-0.3312837244321747
2_O_0002	897	2813	1837	845	0	6392	6392	-0.4549436795994994
2_O_0003	1266	2136	2853	741	206	6996	7202	-0.4140516523188003
3_A_0001	5407	1034	1774	622	0	8837	8837	0.364490211610275
3_A_0002	1490	1489	1092	1663	0	5734	5734	0.09975584234391349
3_A_0003	2870	3007	661	2011	0	8549	8549	0.14188794010995437
3_O_0001	1207	2368	2596	265	0	6436	6436	-0.5425730267246737
3_O_0002	1296	2299	1510	0	486	5105	5591	-0.4494723663029869
3_O_0003	229	3037	2914	583	475	6763	7238	-0.7100027631942526
4_A_0001	2598	1239	1733	3458	0	9028	9028	0.3416038989809482
4_A_0002	4666	413	1614	2185	0	8878	8878	0.5433656228880378
4_A_0003	4429	776	1712	2591	0	9508	9508	0.4766512410601599
4_O_0001	934	4047	3259	293	475	8533	9008	-0.6748445825932504
4_O_0002	860	5766	779	0	0	7405	7405	-0.7677245104659014
4_O_0003	880	5653	2764	0	213	9297	9510	-0.792534174553102
5_A_0001	3730	1526	189	1648	824	7093	7917	0.46267525577870405
5_A_0002	4331	856	845	158	0	6190	6190	0.45040387722132474
5_A_0003	3555	986	1215	857	0	6613	6613	0.3343414486617269
5_O_0001	1362	0	3222	0	0	4584	4584	-0.40575916230366493
5_O_0002	1311	2242	1169	280	665	5002	5667	-0.32115757896594316
5_O_0003	1022	5111	839	263	458	7235	7693	-0.6063954244118029
6_A_0001	2807	2763	1124	1571	0	8265	8265	0.05940713853599516
6_A_0002	4009	942	663	1928	0	7542	7542	0.5743834526650756
6_A_0003	2817	2777	1123	1574	0	8291	8291	0.05922084187673381
6_O_0001	1664	1703	1561	0	0	4928	4928	-0.3246753246753247
6_O_0002	1258	5771	156	403	98	7588	7686	-0.5550351288056206
6_O_0003	1015	2627	739	0	0	4381	4381	-0.5366354713535723
8_A_0001	5626	2360	421	1065	196	9472	9668	0.40442697558957386
8_A_0002	6522	1661	793	1499	314	10475	10789	0.5159885068124942
8_A_0003	7723	0	1342	232	114	9297	9411	0.7026883434279035
8_O_0001	1050	8137	783	0	339	9970	10309	-0.7634106120865264
8_O_0002	811	2614	3404	123	235	6952	7187	-0.7073883400584389
8_O_0003	832	6737	1313	0	323	8882	9205	-0.7841390548614883
9_A_0001	5478	1024	1193	1279	168	8974	9142	0.496609057099103
9_A_0002	3180	2160	848	1852	369	8040	8409	0.24069449399452966
9_A_0003	6449	2244	261	578	0	9532	9532	0.47440201426772977
9_O_0001	906	4021	753	0	0	5680	5680	-0.6809859154929577
9_O_0002	584	7173	973	0	0	8730	8730	-0.8662084765177549
9_O_0003	1299	4726	782	0	102	6807	6909	-0.6092053842813722
