drug,type,counter,H2.Point.Estimate,H2.5.perc,H2.95.perc
oct,h2,auto,0.257373317975184,0.232588981961512,0.518882225839034
oct,H2,man,0.160518028144406,0.157069061183904,0.405741222044498
iso,H2,auto,0.106189965893244,0.101022048767966,0.402633270903594
iso,H2,man,0.243757950255869,0.214361172360589,0.483914348624709
