fname	q1	q2	q3	q4	n	total_q	total	ci
10_A_0001	3287	2447	739	2703	7	9176	9183	0.30534683654579114
10_A_0002	2636	1936	1187	2899	0	8658	8658	0.2785862785862786
10_A_0003	4251	1045	252	1982	0	7530	7530	0.6555112881806109
10_O_0001	403	5149	1607	637	0	7796	7796	-0.7331965110312981
10_O_0002	318	2078	3499	0	129	5895	6024	-0.87300796812749
10_O_0003	576	4527	3111	199	177	8413	8590	-0.7989522700814901
11_A_0001	4978	3239	0	2639	120	10856	10976	0.3988702623906705
11_A_0002	1650	2376	2182	5785	0	11993	11993	0.23988993579588094
11_A_0003	4805	1386	1574	2790	0	10555	10555	0.4391283751776409
11_O_0001	976	3870	4652	0	0	9498	9498	-0.7944830490629606
11_O_0002	932	4866	3172	103	0	9073	9073	-0.7718505455747823
11_O_0003	168	1545	5578	898	0	8189	8189	-0.739650751007449
12_A_0001	4702	231	301	1878	0	7112	7112	0.8503937007874016
12_A_0002	1276	0	0	419	0	1695	1695	1.0
12_O_0001	410	1980	2159	209	373	4758	5131	-0.6860261157669071
1_A_0001	3133	947	1074	1025	0	6179	6179	0.34584884285483086
1_A_0002	2463	1752	1546	2974	242	8735	8977	0.2382755931825777
1_A_0003	2911	1350	1770	2690	140	8721	8861	0.279990971673626
1_O_0001	2302	3620	772	0	0	6694	6694	-0.3122198984164924
1_O_0002	2409	990	2578	1011	0	6988	6988	-0.021179164281625643
1_O_0003	2172	2423	2262	0	0	6857	6857	-0.366486801808371
2_O_0001	1827	6857	1472	1447	220	11603	11823	-0.42755645775183965
2_O_0002	1393	1969	2994	829	639	7185	7824	-0.3503323108384458
2_O_0003	1770	3276	3921	963	365	9930	10295	-0.4336085478387567
2_A_0001	1758	2219	1177	1212	0	6366	6366	-0.06691800188501414
2_A_0002	3554	1601	2498	1570	0	9223	9223	0.11113520546459937
2_A_0003	4424	1476	1234	1828	354	8962	9316	0.3802060970373551
3_A_0001	1887	4775	379	2617	0	9658	9658	-0.06730171878235659
3_A_0002	2034	3232	1146	5502	219	11914	12133	0.2602818758757109
3_A_0003	2641	1155	1869	3360	0	9025	9025	0.32986149584487534
3_O_0001	1066	1890	3308	466	0	6730	6730	-0.5447251114413075
3_O_0002	454	2991	4210	227	0	7882	7882	-0.8272012179649835
3_O_0003	1204	9134	1232	647	0	12217	12217	-0.6969796185642957
4_A_0001	8323	289	531	951	669	10094	10763	0.7854687354826722
4_A_0002	7116	308	849	1931	927	10204	11131	0.7088311921660229
4_A_0003	10024	600	1987	743	0	13354	13354	0.6125505466526884
4_O_0001	725	6650	3900	0	499	11275	11774	-0.8344657720400883
4_O_0002	477	4761	4181	358	953	9777	10730	-0.7555452003727866
4_O_0003	1046	6385	2600	0	1124	10031	11155	-0.7116987897803676
5_A_0001	1673	533	2875	4111	489	9192	9681	0.24542919119925627
5_A_0002	3056	938	690	1202	961	5886	6847	0.38410982912224334
5_A_0003	3605	1807	1496	1084	516	7992	8508	0.16290550070521861
5_O_0001	1232	2513	3012	476	0	7233	7233	-0.5277201714364718
5_O_0002	2139	3503	1850	352	225	7844	8069	-0.35469079191969266
5_O_0003	2661	2149	1636	671	142	7117	7259	-0.062405289984846395
6_A_0001	2716	2015	1754	2522	501	9007	9508	0.15450147244425746
6_A_0002	2898	1360	1464	1203	621	6925	7546	0.16922873045322026
6_A_0003	2187	1900	1611	2347	176	8045	8221	0.12443741637270406
6_O_0001	1113	1783	1586	375	518	4857	5375	-0.349953488372093
6_O_0002	1334	2178	2988	1244	0	7744	7744	-0.33419421487603307
6_O_0003	2366	1691	658	3536	0	8251	8251	0.43061447097321537
7_A_0001	6156	2129	648	1932	180	10865	11045	0.4808510638297872
7_A_0002	4134	2051	262	3168	0	9615	9615	0.5188767550702028
7_A_0003	2962	1099	232	4361	764	8654	9418	0.6362284986196645
7_O_0001	928	5168	1590	0	0	7686	7686	-0.7585219880301848
7_O_0002	606	9254	583	636	0	11079	11079	-0.7757920389926889
7_O_0003	1166	6770	1089	0	375	9025	9400	-0.7120212765957447
8_A_0001	2890	1946	1293	4595	216	10724	10940	0.38811700182815356
8_A_0002	1794	2524	257	4014	374	8589	8963	0.3377217449514671
8_O_0001	926	1892	4077	464	448	7359	7807	-0.5865249135391315
8_O_0002	1169	3863	2408	0	0	7440	7440	-0.685752688172043
8_O_0003	1256	5822	2175	605	0	9858	9858	-0.6224386285250558
9_A_0001	3122	1482	892	969	500	6465	6965	0.24651830581478823
9_A_0002	1322	2265	1533	2475	334	7595	7929	-0.0001261193088661874
9_A_0003	804	913	1209	2436	25	5362	5387	0.20753666233525153
9_O_0001	1167	1225	3165	1001	159	6558	6717	-0.3308024415661754
9_O_0002	1341	2902	826	503	0	5572	5572	-0.3381191672648959
9_O_0003	1161	1812	1576	574	160	5123	5283	-0.3128904031800114
